
2025/04/12 (12:28:51) | ===> btop++ v.1.4.0
2025/04/12 (12:28:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (14:52:34) | ===> btop++ v.1.4.0
2025/04/12 (14:52:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (12:39:39) | ===> btop++ v.1.4.0
2025/04/13 (12:39:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (12:47:59) | ===> btop++ v.1.4.0
2025/04/13 (12:47:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (13:01:31) | ===> btop++ v.1.4.0
2025/04/13 (13:01:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (11:19:43) | ===> btop++ v.1.4.0
2025/04/14 (11:19:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (11:29:56) | ===> btop++ v.1.4.0
2025/04/15 (11:29:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (10:30:54) | ===> btop++ v.1.4.0
2025/04/16 (10:30:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (12:20:34) | ===> btop++ v.1.4.0
2025/04/16 (12:20:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (12:39:43) | ===> btop++ v.1.4.0
2025/04/16 (12:39:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (12:50:45) | ===> btop++ v.1.4.0
2025/04/16 (12:50:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (08:05:43) | ===> btop++ v.1.4.0
2025/04/19 (08:05:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (09:28:43) | ===> btop++ v.1.4.0
2025/04/19 (09:28:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (09:32:16) | ===> btop++ v.1.4.0
2025/04/19 (09:32:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (17:04:22) | ===> btop++ v.1.4.0
2025/04/19 (17:04:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (17:54:33) | ===> btop++ v.1.4.0
2025/04/19 (17:54:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (10:10:10) | ===> btop++ v.1.4.0
2025/04/24 (10:10:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (18:00:32) | ===> btop++ v.1.4.0
2025/04/25 (18:00:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/28 (08:27:52) | ===> btop++ v.1.4.0
2025/04/28 (08:27:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/28 (13:57:27) | ===> btop++ v.1.4.0
2025/04/28 (13:57:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/01 (00:59:39) | ===> btop++ v.1.4.0
2025/05/01 (00:59:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/01 (01:07:04) | ===> btop++ v.1.4.0
2025/05/01 (01:07:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/01 (20:03:22) | ===> btop++ v.1.4.0
2025/05/01 (20:03:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (08:51:19) | ===> btop++ v.1.4.0
2025/05/03 (08:51:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/08 (16:04:19) | ===> btop++ v.1.4.0
2025/05/08 (16:04:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/10 (20:33:41) | ===> btop++ v.1.4.0
2025/05/10 (20:33:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/11 (22:00:40) | ===> btop++ v.1.4.0
2025/05/11 (22:00:40) | WARNING: Intel GPU: Failed to initialize PMU
